iterations,car,drive_transit,others,ride_hail,walk,walk_transit
0,1368,136,0,420,26,96
1,1358,121,0,412,38,131
2,1380,121,0,404,31,121
3,1372,123,0,382,41,144
4,1370,118,2,382,38,152
5,1410,113,0,352,56,125
6,1410,113,0,344,47,149
7,1396,120,0,362,53,121
8,1414,105,0,352,47,140
9,1426,116,0,336,43,139
10,1438,105,0,318,56,148
11,1422,125,0,322,53,135
12,1420,115,0,312,67,155
13,1454,119,0,302,55,127
14,1456,107,0,312,51,123
15,1456,99,0,314,52,134
16,1478,100,0,298,58,124
17,1468,96,0,306,58,123
18,1516,80,0,284,52,112
19,1482,98,0,294,48,127
20,1486,91,0,286,54,142
21,1472,101,0,282,61,138
22,1496,100,0,278,60,110
23,1476,106,0,274,66,132
24,1480,99,0,272,63,141
25,1504,87,0,260,75,125
26,1504,92,0,258,73,120
27,1492,105,0,252,60,148
28,1496,98,0,262,75,114
29,1518,97,0,240,72,126
30,1520,89,0,238,79,126
31,1532,97,0,230,74,117
32,1500,103,0,248,72,128
33,1512,87,0,252,68,134
34,1530,103,0,228,67,118
35,1512,94,0,240,77,123
36,1520,105,0,228,73,123
37,1532,95,0,226,67,126
38,1510,90,0,238,72,137
39,1524,98,0,226,69,134
40,1526,103,0,214,78,130
41,1526,114,0,216,75,117
42,1514,108,0,224,82,122
43,1532,100,0,226,73,118
44,1526,94,0,232,71,129
45,1532,96,0,212,75,140
46,1524,91,0,232,78,123
47,1522,97,0,222,84,117
48,1536,92,2,216,80,128
49,1522,92,0,228,79,139
50,1540,92,0,222,79,110
51,1538,101,1,198,82,138
52,1538,95,0,214,64,148
53,1520,99,0,226,83,120
54,1528,102,0,218,76,129
55,1532,95,0,216,88,112
56,1510,104,0,232,81,122
57,1548,91,0,204,83,127
58,1536,94,1,226,71,126
59,1546,89,0,210,79,113
60,1524,93,0,218,89,129
61,1536,87,0,216,78,131
62,1568,85,0,196,88,104
63,1554,85,0,204,81,124
64,1546,85,0,216,79,122
65,1522,104,2,218,86,116
66,1546,88,0,208,83,117
67,1536,99,1,208,92,108
68,1558,87,0,198,82,122
69,1552,95,0,208,89,92
70,1518,101,0,210,92,138
71,1550,94,0,194,95,114
72,1540,84,0,216,88,115
73,1554,84,0,206,91,109
74,1538,92,1,198,85,141
75,1558,105,0,186,86,108
76,1554,91,0,196,88,118
77,1538,95,0,198,82,140
78,1540,93,0,206,86,125
79,1550,101,0,190,85,118
80,1542,94,0,206,87,114
81,1546,77,0,214,92,116
82,1536,99,0,202,85,132
83,1551,94,0,202,89,114
84,1556,100,0,180,97,108
85,1544,86,0,202,94,127
86,1574,94,0,176,88,119
87,1566,98,0,178,83,122
88,1560,93,1,202,84,112
89,1558,83,0,198,93,112
90,1558,87,0,196,97,113
91,1554,91,0,200,95,102
92,1556,88,0,198,87,125
93,1548,77,0,210,94,119
94,1560,82,0,204,97,101
95,1570,77,0,192,95,112
96,1562,87,0,196,94,98
97,1558,95,1,192,94,109
98,1572,72,0,190,92,126
99,1564,94,0,196,91,95
100,1552,86,0,206,99,97
