Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	21:49:29	21:49:29	21:49:29			21:49:29	21:49:29	21:49:29	21:49:29	21:49:29	21:50:34	21:50:34	21:50:34	21:50:34	21:50:34	21:50:34	21:50:40	21:50:40		00:00:00		00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
1	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:50:40	21:51:41	21:51:41	21:51:41	21:51:41	21:51:41	21:51:41	21:51:47	21:51:47		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
2	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:51:47	21:52:48	21:52:48	21:52:48	21:52:48	21:52:48	21:52:48	21:52:54	21:52:54		00:00:00	00:00:00	00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:05	00:01:07
3	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:52:54	21:53:53	21:53:53	21:53:53	21:53:53	21:53:53	21:53:53	21:53:58	21:53:58		00:00:00	00:00:00	00:00:00	00:00:00	00:00:58	00:00:00	00:00:00	00:00:05	00:01:04
4	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:53:58	21:55:00	21:55:00	21:55:00	21:55:00	21:55:00	21:55:00	21:55:05	21:55:05		00:00:00	00:00:00	00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:05	00:01:07
5	21:55:05	21:55:05	21:55:05	21:55:05	21:55:05	21:55:05	21:55:05	21:55:06	21:55:06	21:55:06	21:56:08	21:56:08	21:56:08	21:56:08	21:56:08	21:56:08	21:56:14	21:56:14		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
6	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:56:14	21:57:13	21:57:13	21:57:13	21:57:13	21:57:13	21:57:13	21:57:19	21:57:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:58	00:00:00	00:00:00	00:00:05	00:01:04
7	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:57:19	21:58:18	21:58:18	21:58:18	21:58:18	21:58:18	21:58:18	21:58:24	21:58:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:59	00:00:00	00:00:00	00:00:05	00:01:05
8	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:58:24	21:59:26	21:59:26	21:59:26	21:59:26	21:59:26	21:59:26	21:59:31	21:59:31		00:00:00	00:00:00	00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:05	00:01:07
9	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	21:59:31	22:00:30	22:00:30	22:00:30	22:00:30	22:00:30	22:00:30	22:00:36	22:00:36		00:00:00	00:00:00	00:00:00	00:00:00	00:00:58	00:00:00	00:00:00	00:00:05	00:01:04
10	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:00:36	22:01:36	22:01:36	22:01:36	22:01:36	22:01:36	22:01:36	22:01:42	22:01:42		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
11	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:01:42	22:02:42	22:02:42	22:02:42	22:02:42	22:02:42	22:02:42	22:02:48	22:02:48		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:05
12	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:02:48	22:03:49	22:03:49	22:03:49	22:03:49	22:03:49	22:03:49	22:03:54	22:03:54		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
13	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:03:54	22:04:58	22:04:58	22:04:58	22:04:58	22:04:58	22:04:58	22:05:04	22:05:04		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
14	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:05:04	22:06:04	22:06:04	22:06:04	22:06:04	22:06:04	22:06:04	22:06:10	22:06:10		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
15	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:06:10	22:07:14	22:07:14	22:07:14	22:07:14	22:07:14	22:07:14	22:07:20	22:07:20		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
16	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:07:20	22:08:24	22:08:24	22:08:24	22:08:24	22:08:24	22:08:24	22:08:30	22:08:30		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
17	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:08:30	22:09:32	22:09:32	22:09:32	22:09:32	22:09:32	22:09:32	22:09:38	22:09:38		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
18	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:09:38	22:10:41	22:10:41	22:10:41	22:10:41	22:10:41	22:10:41	22:10:47	22:10:47		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
