stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2502238,,,Marion between 32nd & Oak,,43.524035,-96.790734,,,0,,America/Chicago,,,0
2502243,,,Cliff/26th,,43.529613,-96.711449,,,0,,America/Chicago,,,0
767253,,,The Bus Stop (TBS) SAM's downtown terminal,,43.54496938,-96.72541594,,,0,,America/Chicago,,,0
767254,,,10th (mid-block)/Dakota NE corner,,43.54606677,-96.72912283,,,0,,America/Chicago,,,0
767255,,,10th/Spring NE corner,,43.54607065,-96.73251558,,,0,,America/Chicago,,,0
767256,,,10th/Prairie NE corner,,43.54604258,-96.7369514,,,0,,America/Chicago,,,0
767257,,,12th/Grange NW corner,,43.54406669,-96.74173977,,,0,,America/Chicago,,,0
767258,,,12th/Hawthorne NE corner,,43.54403462,-96.74771244,,,0,,America/Chicago,,,0
767259,,,Western/15th-NW Corner,,43.53921271,-96.75128456,,,0,,America/Chicago,,,0
767260,,,Western/18th NW corner,,43.53680615,-96.75129115,,,0,,America/Chicago,,,0
767261,,,Western/22nd NW corner,,43.53317477,-96.75129275,,,0,,America/Chicago,,,0
767262,,,26th/Williams NE corner,,43.52944811,-96.75997144,,,0,,America/Chicago,,,0
767263,,,Kiwanis/Oak NW corner,,43.52658183,-96.76126626,,,0,,America/Chicago,,,0
767264,,,Kiwanis/33rd NW corner,,43.52236826,-96.76125796,,,0,,America/Chicago,,,0
767265,,,Kiwanis/37th NW corner,,43.51859029,-96.76123251,,,0,,America/Chicago,,,0
767266,,,Kiwanis/39th NW corner,,43.51701715,-96.76122344,,,0,,America/Chicago,,,0
767267,,,Kiwanis/41st SW corner (mid-block ),,43.51412007,-96.76116285,,,0,,America/Chicago,,,0
767268,,,Kiwanis/Kiwanis Circle NW corner,,43.50994121,-96.75809598,,,0,,America/Chicago,,,0
767269,,,49th/Oxbow NE corner,,43.50768606,-96.7658296,,,0,,America/Chicago,,,0
767270,,,Southwest Center (SWC) SAM's southwest transit hub,,43.50478562,-96.77149721,,,0,,America/Chicago,,,0
767271,,,Technology Drive/Technology Circle SE corner,,43.50501996,-96.7740064,,,0,,America/Chicago,,,0
767272,,,Technology Drive/Valhalla SE corner,,43.50657467,-96.77561808,,,0,,America/Chicago,,,0
767273,,,49th/Oxbow SW corner,,43.50751297,-96.76605718,,,0,,America/Chicago,,,0
767274,,,Kiwanis/46th SE corner,,43.5104583,-96.75796959,,,0,,America/Chicago,,,0
767275,,,Kiwanis/Park Place SE corner,,43.51354805,-96.76008883,,,0,,America/Chicago,,,0
767276,,,Kiwanis/39th SE corner,,43.51655886,-96.76100877,,,0,,America/Chicago,,,0
767277,,,Kiwanis/37th SE corner,,43.51838318,-96.76101945,,,0,,America/Chicago,,,0
767278,,,Kiwanis/33rd SE corner,,43.52199879,-96.76104273,,,0,,America/Chicago,,,0
767279,,,Kiwanis/Oak SE corner,,43.52627647,-96.76108422,,,0,,America/Chicago,,,0
767280,,,26th/Williams SW corner,,43.52935994,-96.76018951,,,0,,America/Chicago,,,0
767281,,,VA Medical Center entrance northbound,,43.53110358,-96.75478842,,,0,,America/Chicago,,,0
767282,,,Western/20th SE corner,,43.53483173,-96.75116331,,,0,,America/Chicago,,,0
767283,,,Western/18th SE corner,,43.53661138,-96.7511264,,,0,,America/Chicago,,,0
767284,,,Western/15th SE corner,,43.54023596,-96.75116095,,,0,,America/Chicago,,,0
767285,,,12th/Western SE corner,,43.54387231,-96.75081225,,,0,,America/Chicago,,,0
767286,,,12th/Glendale SE corner,,43.54387531,-96.74722796,,,0,,America/Chicago,,,0
767287,,,11th/Menlo SW corner,,43.54438058,-96.74005947,,,0,,America/Chicago,,,0
767288,,,11th/Prairie SW corner,,43.5445997,-96.73716008,,,0,,America/Chicago,,,0
767289,,,11th/Spring SW corner,,43.54460437,-96.73286294,,,0,,America/Chicago,,,0
767290,,,11th/Dakota SW corner,,43.54462516,-96.72999438,,,0,,America/Chicago,,,0
767291,,,10th/Main SW corner,,43.54574951,-96.72837724,,,0,,America/Chicago,,,0
767292,,,14th/Main NW corner,,43.54154689,-96.7283436,,,0,,America/Chicago,,,0
767293,,,14th/Spring NE corner,,43.54149031,-96.73262868,,,0,,America/Chicago,,,0
767294,,,14th/Summit NE corner,,43.54149187,-96.73545673,,,0,,America/Chicago,,,0
767295,,,17th/Summit NW corner,,43.53779407,-96.73564574,,,0,,America/Chicago,,,0
767296,,,Grange/18th SW corner,,43.53629734,-96.74132435,,,0,,America/Chicago,,,0
767297,,,Grange/21st SW corner,,43.53371131,-96.7413173,,,0,,America/Chicago,,,0
767298,,,Grange/26th NW corner,,43.52965917,-96.74132263,,,0,,America/Chicago,,,0
767299,,,26th/Lake NE corner,,43.52948344,-96.7448504,,,0,,America/Chicago,,,0
767300,,,26th/Glendale NE corner,,43.52948906,-96.74735111,,,0,,America/Chicago,,,0
767301,,,26th (midblock)/Western NE corner,,43.52949822,-96.75058374,,,0,,America/Chicago,,,0
767302,,,Western/Oak SW corner,,43.52561877,-96.75125193,,,0,,America/Chicago,,,0
767303,,,Western/33rd NW corner,,43.52229652,-96.75119441,,,0,,America/Chicago,,,0
767304,,,Western/37th NW corner,,43.51864636,-96.75117222,,,0,,America/Chicago,,,0
767305,,,Western/42nd SW corner,,43.5134276,-96.7511977,,,0,,America/Chicago,,,0
767306,,,Western/46th NW corner,,43.51065829,-96.75117382,,,0,,America/Chicago,,,0
767307,,,46th (north side) at Active Generations,,43.51059508,-96.75512581,,,0,,America/Chicago,,,0
767308,,,Elmwood/49th NW corner,,43.50857102,-96.75597221,,,0,,America/Chicago,,,0
767309,,,57th/Tennis Lane SW corner,,43.50025848,-96.76844202,,,0,,America/Chicago,,,0
767310,,,57th/Burr Oak Place SW corner,,43.50026161,-96.7629885,,,0,,America/Chicago,,,0
767311,,,57th/Old Yankton Road SW corner,,43.5002433633973,-96.7531116510184,,,0,,America/Chicago,,,0
767312,,,Western/51st SE corner,,43.50527957,-96.74979854,,,0,,America/Chicago,,,0
767313,,,Western/47th NE corner,,43.50933077,-96.75093484,,,0,,America/Chicago,,,0
767314,,,Western/45th SE corner,,43.51138948,-96.75095405,,,0,,America/Chicago,,,0
767315,,,Western (mid-block)/41st NE corner,,43.51522748,-96.75097796,,,0,,America/Chicago,,,0
767316,,,Western/37th SE corner,,43.51840852,-96.75105127,,,0,,America/Chicago,,,0
767317,,,Western/33rd SE corner,,43.52198879,-96.75107412,,,0,,America/Chicago,,,0
767318,,,33rd/West SE corner,,43.52208032,-96.74584671,,,0,,America/Chicago,,,0
