timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,767253,1,The Bus Stop (TBS) SAM's downtown terminal,"10/Hayward/West Side, 19/Southeast Technical Institute (STI), 1/South Kiwanis Avenue/VA Medical Center, 2/S. Western/Sanford, 3/Downtown/Southwest Connector, 4/East 10th Street/East 12th Street, 5/South Phillips Avenue/Avera McKennan Hospital, 6/North Prairie Avenue, 7/North Cleveland/East 6th Street/Arrowhead Parkway, 8/North Industrial, 9/South Sycamore/East 26th Street"
1,767330,2,Minnesota/11th NW corner,3/Downtown/Southwest Connector
1,767331,3,Minnesota/14th NW corner,3/Downtown/Southwest Connector
1,767332,4,Minnesota/18th NW corner,3/Downtown/Southwest Connector
1,767333,5,Minnesota/21st NW corner,3/Downtown/Southwest Connector
1,767334,6,Minnesota/26th NW corner,3/Downtown/Southwest Connector
1,767335,7,Minnesota/29th NW corner,3/Downtown/Southwest Connector
1,767336,8,Minnesota (mid-block)/33rd SW corner,3/Downtown/Southwest Connector
1,767337,9,Minnesota/37th NW corner,3/Downtown/Southwest Connector
1,767338,10,Minnesota/41st/NW corner,3/Downtown/Southwest Connector
1,767339,11,41st/Norton NE corner,3/Downtown/Southwest Connector
1,767340,12,41st/Grange NE corner,3/Downtown/Southwest Connector
1,767341,13,41st/West NE corner,3/Downtown/Southwest Connector
1,767342,14,41st/Western NE corner,3/Downtown/Southwest Connector
1,767343,15,41st/Holly NE corner,3/Downtown/Southwest Connector
1,767344,16,41st/Kiwanis NE corner,3/Downtown/Southwest Connector
1,767345,17,41st/O'Gorman entrance,3/Downtown/Southwest Connector
1,767346,18,Louise/Empire Mall entrance driveway NW corner,"11/Louise Avenue/Empire Mall, 3/Downtown/Southwest Connector"
1,767347,19,Louise/Hy-Vee entrance driveway SW corner,"11/Louise Avenue/Empire Mall, 3/Downtown/Southwest Connector"
1,767270,20,Southwest Center (SWC) SAM's southwest transit hub,"11/Louise Avenue/Empire Mall, 1/South Kiwanis Avenue/VA Medical Center, 2/S. Western/Sanford, 3/Downtown/Southwest Connector"
1,767271,21,Technology Drive/Technology Circle SE corner,"1/South Kiwanis Avenue/VA Medical Center, 3/Downtown/Southwest Connector"
1,767272,22,Technology Drive/Valhalla SE corner,"1/South Kiwanis Avenue/VA Medical Center, 3/Downtown/Southwest Connector"
1,767348,23,47th/Louise SE corner,3/Downtown/Southwest Connector
1,767349,24,Louise at Target entrance driveway NE corner,3/Downtown/Southwest Connector
1,767350,25,41st/Westport SW corner,3/Downtown/Southwest Connector
1,767351,26,41st/adjacent to (east of) Big Sioux River,3/Downtown/Southwest Connector
1,767352,27,41st/Kiwanis – SW Corner,3/Downtown/Southwest Connector
1,767353,28,41st/Elmwood SW corner,3/Downtown/Southwest Connector
1,767354,29,41st/Western SW corner,3/Downtown/Southwest Connector
1,767355,30,41st/West SW corner,3/Downtown/Southwest Connector
1,767356,31,41st/Grange SW corner,3/Downtown/Southwest Connector
1,767357,32,41st/Summit SW corner,3/Downtown/Southwest Connector
1,767358,33,Minnesota/40th SE corner,3/Downtown/Southwest Connector
1,767359,34,Minnesota/37th SE corner,3/Downtown/Southwest Connector
1,767360,35,Minnesota (mid-block/ 33rd NE corner,3/Downtown/Southwest Connector
1,767361,36,Minnesota/30th SE corner,3/Downtown/Southwest Connector
1,767362,37,Minnesota (mid-block) 26th SE corner,3/Downtown/Southwest Connector
1,767363,38,Minnesota/22nd SE corner,3/Downtown/Southwest Connector
1,767364,39,Minnesota/19th SE corner,3/Downtown/Southwest Connector
1,767365,40,Minnesota/16th SE corner,3/Downtown/Southwest Connector
1,767366,41,Minnesota/13th SE corner,3/Downtown/Southwest Connector
1,767290,42,11th/Dakota SW corner,"10/Hayward/West Side, 19/Southeast Technical Institute (STI), 1/South Kiwanis Avenue/VA Medical Center, 3/Downtown/Southwest Connector"
1,767253,43,The Bus Stop (TBS) SAM's downtown terminal,"10/Hayward/West Side, 19/Southeast Technical Institute (STI), 1/South Kiwanis Avenue/VA Medical Center, 2/S. Western/Sanford, 3/Downtown/Southwest Connector, 4/East 10th Street/East 12th Street, 5/South Phillips Avenue/Avera McKennan Hospital, 6/North Prairie Avenue, 7/North Cleveland/East 6th Street/Arrowhead Parkway, 8/North Industrial, 9/South Sycamore/East 26th Street"
2,767253,1,The Bus Stop (TBS) SAM's downtown terminal,"10/Hayward/West Side, 19/Southeast Technical Institute (STI), 1/South Kiwanis Avenue/VA Medical Center, 2/S. Western/Sanford, 3/Downtown/Southwest Connector, 4/East 10th Street/East 12th Street, 5/South Phillips Avenue/Avera McKennan Hospital, 6/North Prairie Avenue, 7/North Cleveland/East 6th Street/Arrowhead Parkway, 8/North Industrial, 9/South Sycamore/East 26th Street"
2,767330,2,Minnesota/11th NW corner,3/Downtown/Southwest Connector
2,767331,3,Minnesota/14th NW corner,3/Downtown/Southwest Connector
2,767332,4,Minnesota/18th NW corner,3/Downtown/Southwest Connector
2,767333,5,Minnesota/21st NW corner,3/Downtown/Southwest Connector
2,767334,6,Minnesota/26th NW corner,3/Downtown/Southwest Connector
2,767335,7,Minnesota/29th NW corner,3/Downtown/Southwest Connector
2,767336,8,Minnesota (mid-block)/33rd SW corner,3/Downtown/Southwest Connector
2,767337,9,Minnesota/37th NW corner,3/Downtown/Southwest Connector
2,767338,10,Minnesota/41st/NW corner,3/Downtown/Southwest Connector
2,767339,11,41st/Norton NE corner,3/Downtown/Southwest Connector
2,767340,12,41st/Grange NE corner,3/Downtown/Southwest Connector
2,767341,13,41st/West NE corner,3/Downtown/Southwest Connector
2,767342,14,41st/Western NE corner,3/Downtown/Southwest Connector
2,767343,15,41st/Holly NE corner,3/Downtown/Southwest Connector
2,767344,16,41st/Kiwanis NE corner,3/Downtown/Southwest Connector
2,767345,17,41st/O'Gorman entrance,3/Downtown/Southwest Connector
2,767346,18,Louise/Empire Mall entrance driveway NW corner,"11/Louise Avenue/Empire Mall, 3/Downtown/Southwest Connector"
2,767347,19,Louise/Hy-Vee entrance driveway SW corner,"11/Louise Avenue/Empire Mall, 3/Downtown/Southwest Connector"
2,767270,20,Southwest Center (SWC) SAM's southwest transit hub,"11/Louise Avenue/Empire Mall, 1/South Kiwanis Avenue/VA Medical Center, 2/S. Western/Sanford, 3/Downtown/Southwest Connector"
2,767271,21,Technology Drive/Technology Circle SE corner,"1/South Kiwanis Avenue/VA Medical Center, 3/Downtown/Southwest Connector"
2,767272,22,Technology Drive/Valhalla SE corner,"1/South Kiwanis Avenue/VA Medical Center, 3/Downtown/Southwest Connector"
2,767348,23,47th/Louise SE corner,3/Downtown/Southwest Connector
2,767349,24,Louise at Target entrance driveway NE corner,3/Downtown/Southwest Connector
2,767350,25,41st/Westport SW corner,3/Downtown/Southwest Connector
2,767351,26,41st/adjacent to (east of) Big Sioux River,3/Downtown/Southwest Connector
2,767352,27,41st/Kiwanis – SW Corner,3/Downtown/Southwest Connector
