route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type
1340,c_676_b_219_d_31,t_75339_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_4,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_4,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_5,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_6,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75338_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75338_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75338_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75338_b_219_tn_4,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75339_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_31,t_75339_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_8,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_1,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_10,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_11,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_12,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_2,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_3,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_4,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_5,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_6,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_7,,(loop),,,p_3333,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_9,,(loop),,,p_3333,,,
1341,c_676_b_219_d_31,t_13119_b_219_tn_0,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75383_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75383_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75383_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_5,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_4,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_31,t_13118_b_219_tn_0,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_5,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_1,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_10,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_11,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_2,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_3,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_4,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_6,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_7,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_8,,(loop),,,p_3336,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_9,,(loop),,,p_3336,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_11,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_10,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75369_b_219_tn_3,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75369_b_219_tn_4,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75370_b_219_tn_1,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75370_b_219_tn_2,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_1,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_2,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_3,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_1,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_2,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75369_b_219_tn_2,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75369_b_219_tn_1,,(loop),,,p_3337,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_9,,(loop),,,p_3337,,,
