linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
0.032733000759780626,0,1
1.6793192250945852,2,1
0.5627764826817317,1,1
0.414843298976331,0,1
0.23497434292866082,0,1
0.5681106451771202,1,1
0.22949135703385576,0,1
0.39941864577881764,0,1
26.87392160361568,27,1
0.3645095019810804,0,1
0.6339742700665446,1,1
1.3349452202947387,1,1
1.818391319594911,2,1
0.26366791570587517,0,1
1.6615598544724108,2,1
2.542877956204629,3,1
0.21493456748504688,0,1
0.008874355147310333,0,1
0.4046430963660731,0,1
0.5282940437005278,1,1
0.1616438434163701,0,1
11.07228925957862,11,1
0.05811422975558645,0,1
0.06295374653493242,0,1
68.31798275467168,68,1
0.8752753889618193,1,1
2.7100531400712082,3,1
0.3452234848577059,0,1
0.05245090377874373,0,1
1.3499573922205466,1,1
2.4129759274618765,2,1
0.3318664132425123,0,1
0.2802691482222943,0,1
0.553981127076596,1,1
0.4771421478401232,0,1
0.09960281222733684,0,1
0.33911933078927986,0,1
0.3921636121678861,0,1
0.1395390075648136,0,1
0.014204466631450243,0,1
0.3231142638810727,0,1
0.37222339704010576,0,1
88.94197887518952,89,1
0.3819336221039023,0,1
0.2937518934497617,0,1
2.2663381767499495,2,1
0.34733497944391983,0,1
86.95812681369159,87,1
0.1744819674253871,0,1
0.3183932334736204,0,1
0.07937524414633237,0,1
0.8472229162769135,1,1
53.18455020478171,53,1
0.5505802909878876,1,1
0.41769206977915335,0,1
6.312995345556143,6,1
1.0326353324286677,1,1
0.7746820788736265,1,1
0.6182373788084987,1,1
0.2419805531822561,0,1
0.5021536905820747,1,1
0.5369921632564282,1,1
14.382261407128457,14,1
0.7264518862468264,1,1
0.20921396776531165,0,1
0.3196827535190913,0,1
3.1839180553433426,3,1
0.07489085681984854,0,1
0.8614778541391227,1,1
1.414589504144249,1,1
1.5519228842238573,2,1
0.6119604487812031,1,1
0.04107864607253041,0,1
0.18424864864864865,0,1
0.433178195022483,0,1
0.29781946007975685,0,1
0.10518887588949351,0,1
1.9074734097437724,2,1
4.139721206381384,4,1
0.6304310596447916,1,1
0.2421720110929894,0,1
0.44873279583506964,0,1
0.0930297624122607,0,1
0.11725548927239826,0,1
8.123170150658494,8,1
0.9003173006625039,1,1
86.82709311218001,87,1
0.7742700071839084,1,1
0.3773592619943379,0,1
0.010078581650340175,0,1
61.91526842522175,62,1
0.45547887210254673,0,1
0.471878144085836,0,1
1.203986794627149,1,1
0.29326752633396663,0,1
0.1595729888951195,0,1
3.5260816688455114,4,1
0.18003718732023638,0,1
17.13030303931367,17,1
0.12154357992747106,0,1
0.26281348728764026,0,1
0.7084189615828088,1,1
0.39900884481657245,0,1
0.19543707332243962,0,1
0.2758556982778393,0,1
0.3307825511329745,0,1
0.08254386623762533,0,1
99.44294242534626,99,1
0.3052814428887694,0,1
0.7132224471209904,1,1
0.5263073684210525,1,2
0.40106069104285946,0,1
0.31038750749374455,0,1
0.37448474025974027,0,1
0.8029500116733732,1,1
72.71792241522647,73,1
15.271591524157282,15,1
0.06173583268282829,0,1
73.09610607206096,73,1
0.6372209001951593,1,1
0.4018500755843482,0,1
1.6243769849094605,2,1
0.2102407812629529,0,1
0.4290798598707161,0,1
0.7374366606155324,1,1
35.257550455647205,35,1
51.077932010820035,51,1
0.2573368025168853,0,1
0.5552490103939661,1,1
3.255706087552575,3,1
1.30479765654846,1,1
4.522686566485038,5,1
0.26628193819425394,0,1
0.7139975750221556,1,1
0.0806624661568348,0,1
1.1574829530201363,1,1
62.710494395288585,63,1
83.72371242324554,84,1
97.5541846224844,98,1
93.92662769220573,94,1
6.2019630003446045,6,1
45.5546267416868,46,1
0.09904106499215931,0,1
2.1260794030724584,2,1
0.248238383002027,0,1
0.48068047798893454,0,1
0.31111526423832225,0,1
0.5955350363096389,1,1
1.7220069848773172,2,1
11.003570972045535,11,1
2.8629964131705172,3,1
0.925964567562424,1,1
0.05150402524654409,0,1
0.362140092912119,0,1
0.5046053729943627,1,1
1.9635312286689421,2,1
0.5388420420579865,1,1
81.49548321625399,81,1
0.44486587945713646,0,1
0.1825447519754462,0,1
0.03704170927780527,0,1
3.803850894177225,4,1
0.1059562896500086,0,1
11.09392248023251,11,1
58.121912458266046,58,1
72.89842076251001,73,1
0.11366266399883361,0,1
56.896876044058686,57,1
0.4786931112810522,0,1
0.10028851774000398,0,1
0.5022363636585996,1,1
97.1424278253759,97,1
0.3753549636672974,0,1
0.6928751688326733,1,1
0.46527426754894,0,1
0.3501774484320146,0,2
0.5058413667732938,1,1
0.24410922502028867,0,1
6.457990215012345,6,1
6.757856474072094,7,1
0.549113967352939,1,1
1.4432264585271521,1,1
0.11105398480447153,0,1
5.4532626282901715,5,1
0.11349966138768294,0,1
3.0473153832356847,3,1
0.14730710372424569,0,1
3.1867645877884523,3,1
0.20670750236421614,0,1
1.27478951692924,1,1
0.15556123159767965,0,1
0.41037727020187037,0,1
0.21753710196594284,0,1
0.34861646226677695,0,1
0.3659946248477972,0,1
0.4842348763959942,0,1
1.7506882038886746,2,1
16.727733626317047,17,1
0.18155524771883447,0,1
0.28319315268727846,0,1
0.11145309505224325,0,1
2.103363307053654,2,1
0.3065855744670255,0,1
0.08573929302013386,0,1
0.22701692339758858,0,1
66.30105559869898,66,1
0.23610283632049042,0,1
1.2300954262551975,1,1
0.723730274155599,1,1
0.6180664024380019,1,1
1.687541510083555,2,1
6.049517306897784,6,1
0.32167521909469254,0,1
0.4221652503560931,0,1
3.0554577390543805,3,1
0.43009071804773447,0,1
0.27827760835890314,0,1
0.22557250645096508,0,1
0.14550889529899583,0,1
0.6515659391818689,1,1
98.56594037564366,99,1
6.567661427721143,7,1
3.0386772400249678,3,1
0.19617704494514612,0,1
0.5210140775681305,1,1
80.61303466658578,81,1
0.5490500880392468,1,1
0.13722722865670836,0,1
0.8795544731908386,1,1
6.065818553729228,6,1
0.034945932294112525,0,1
2.05586012439667,2,1
24.059138837146495,24,1
0.16412997930583312,0,1
1.1243428030740061,1,1
43.676879995312895,44,1
95.12044422548891,95,1
10.36459125139636,10,1
98.15435318848257,98,1
4.485347420056167,4,1
0.36494494356129037,0,1
0.08644792567484283,0,1
2.762716442544808,3,1
0.16482441380460885,0,1
0.5349921966468539,1,1
0.3061044543630093,0,1
1.9505328473299535,2,1
83.67867728867043,84,1
88.50080285945653,89,1
0.9579028638577578,1,1
0.4308758375703219,0,1
0.2939164372221927,0,1
48.49947942772883,48,1
2.845785243568592,3,1
82.96679999999999,83,1
0.21978058732962774,0,1
0.023327687607945798,0,1
0.46887513391956115,0,1
2.3773216715922416,2,1
0.45996357977439695,0,1
3.951518393498385,4,1
0.2611360244549056,0,1
0.4129845615738646,0,2
0.703124494296886,1,1
5.350062590669334,5,1
0.8426954935622318,1,1
0.22294175864262183,0,1
0.3742095225941624,0,1
0.31295468070187743,0,1
0.19847499727287266,0,1
60.99706096973316,61,1
0.24314701205975908,0,1
0.4333281763906465,0,1
86.34179161138883,86,1
13.510719032050325,14,1
0.07146676258221134,0,1
7.485888570253704,7,1
0.611867382779044,1,1
1.2676790617498108,1,1
0.0894741846476614,0,1
0.7802080984997701,1,1
98.27318833929225,98,1
