Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.00000000000003
7,7,99.94095151524344
8,8,91.55628577883674
9,9,86.92700816882281
10,10,87.29777474157709
11,11,87.07591088850715
12,12,87.35361494421316
13,13,87.58773651823711
14,14,87.0424069510055
15,15,87.5085205245235
16,16,87.25901806868099
17,17,86.40659598258071
18,18,84.4173577494933
19,19,83.75266799810197
20,20,84.24949348331849
21,21,84.56262947800651
22,22,85.59436281792769
23,23,85.89342607412719
24,24,86.37246573294381
25,25,86.82242395802939
26,26,87.40230872629648
27,27,87.64630901195001
28,28,89.14567242762026
29,29,91.44350112297947
30,30,100.0
