hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,1898,21,0,6,8,11
9,6430,148,37,26,61,73
10,1390,32,80,24,75,43
11,479,20,8,34,136,21
12,653,30,0,34,125,28
13,701,28,0,36,150,47
14,700,48,2,44,163,51
15,694,52,18,50,151,61
16,599,55,7,39,157,55
17,1244,60,20,46,123,88
18,4260,77,46,77,177,129
19,4526,76,94,62,186,103
20,1477,36,40,38,134,43
21,480,20,26,35,104,44
22,211,4,14,32,110,22
23,79,5,0,23,61,5
24,23,1,0,4,20,1
25,8,0,0,4,6,0
26,0,0,0,0,0,0
27,1,0,0,0,0,0
28,0,0,0,0,0,0
29,1,0,0,0,0,0
30,2,0,0,0,0,0
