timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
26513.0,408-2014000858265-078473,rideHailVehicle-408-2016000819398-0144282,52.0
27119.0,10102-2015000816762-0108983,rideHailVehicle-10102-2014000119219-064051,58.0
27780.0,700-2013000532687-243280,rideHailVehicle-700-2014000386255-069752,17.0
28199.0,201-2015000816977-2109155,rideHailVehicle-201-2014000747832-076462,20.0
28341.0,401-2012000065514-01029,rideHailVehicle-401-2016001254527-0152934,15.0
28771.0,1002-2016001065251-0148422,rideHailVehicle-1002-2012000804271-015461,58.0
28976.0,500-2013000703874-047191,rideHailVehicle-1700-2012000566763-011418,20.0
29182.0,1002-2013000263579-136160,rideHailVehicle-1107-2015000804471-1108139,20.0
29365.0,202-2014000481364-071304,rideHailVehicle-1001-2013001232881-056282,18.0
29422.0,1600-2015000583296-0101610,rideHailVehicle-1600-2016000927307-0146478,43.0
29471.0,300-2016000246130-0130056,rideHailVehicle-300-2015001225182-0118723,18.0
29945.0,600-2015000398159-099001,rideHailVehicle-600-2013000663329-145765,38.0
30000.0,700-2014000126757-064503,rideHailVehicle-700-2015001114301-0116382,42.0
30085.0,201-2012001254838-024511,rideHailVehicle-700-2013000784714-048031,56.0
30115.0,900-2013000359041-137903,rideHailVehicle-900-2016001487612-0156816,58.0
30183.0,700-2016001114068-0149154,rideHailVehicle-700-2014000743195-076436,16.0
30497.0,1108-2014000537284-173190,rideHailVehicle-1108-2013000035041-129947,13.0
30532.0,10104-2012000388919-07569,rideHailVehicle-10102-2015001070539-0115475,11.0
30375.0,201-2016000819398-0144223,rideHailVehicle-201-2015000136494-093725,304.0
30587.0,100-2014000792901-076982,rideHailVehicle-300-2012001416139-028567,350.0
30774.0,700-2016000364640-0132718,rideHailVehicle-700-2014001333793-089615,25.0
30899.0,300-2016001310851-0153631,rideHailVehicle-300-2012000198633-03986,18.0
31069.0,600-2012000091319-01862,rideHailVehicle-1500-2015001225649-1118779,195.0
31224.0,1200-2015000128096-093291,rideHailVehicle-900-2014000263740-067388,43.0
31415.0,1700-2015000420261-099462,rideHailVehicle-1700-2012000131467-02453,98.0
30982.0,1500-2012000987013-020354,rideHailVehicle-10600-2013001290223-057263,762.0
31625.0,401-2012000974778-020130,rideHailVehicle-500-2013001219485-055979,40.0
31966.0,1200-2014000022810-061216,rideHailVehicle-1200-2013001348757-058115,43.0
31824.0,300-2012000311610-06147,rideHailVehicle-300-2012000198633-03986,18.0
32272.0,700-2015001195146-2117761,rideHailVehicle-700-2012001398904-027834,41.0
32381.0,300-2012000429510-08980,rideHailVehicle-300-2012000198633-04036,52.0
32400.0,1500-2012001315564-125580,rideHailVehicle-1500-2012000987013-020266,60.0
31761.0,900-2013000280546-036674,rideHailVehicle-202-2014001138085-085381,1083.0
32904.0,100-2012001471932-029503,rideHailVehicle-201-2015000136494-093725,105.0
32941.0,500-2012000871125-017761,rideHailVehicle-700-2014001333793-089615,98.0
33013.0,500-2013000115942-032409,rideHailVehicle-700-2014000125384-264252,171.0
33215.0,300-2016000412886-0134254,rideHailVehicle-300-2015001314717-1120929,18.0
33777.0,700-2014000585174-274259,rideHailVehicle-700-2014000537083-073101,28.0
33846.0,1600-2016000069252-0126596,rideHailVehicle-1600-2016001091548-1148848,44.0
33881.0,10600-2015000210255-195334,rideHailVehicle-10600-2016001438850-0155610,41.0
33920.0,1700-2012001333257-026168,rideHailVehicle-1700-2015001219743-0118183,32.0
33985.0,1500-2012000974218-020118,rideHailVehicle-1500-2013000772599-047868,43.0
34217.0,300-2014001049514-083331,rideHailVehicle-300-2015001314717-1120929,18.0
34226.0,201-2016000250854-1130745,rideHailVehicle-201-2015000272305-096267,65.0
34228.0,201-2013001219485-056013,rideHailVehicle-201-2015000018557-091626,66.0
34244.0,1600-2016000645198-0140286,rideHailVehicle-600-2015000242612-095907,53.0
34397.0,1200-2014000212413-066126,rideHailVehicle-1200-2013000485454-041659,58.0
34512.0,1700-2012001333257-026128,rideHailVehicle-1700-2015000420261-099419,32.0
34477.0,700-2013000359041-038113,rideHailVehicle-700-2012000116810-02024,23.0
34492.0,1500-2012000089288-01682,rideHailVehicle-1901-2015000795744-0107757,58.0
34822.0,700-2016000389885-0133303,rideHailVehicle-201-2014000763883-076634,67.0
35029.0,700-2016000874667-0145495,rideHailVehicle-700-2012000731198-014393,67.0
35340.0,406-2016000757207-0142759,rideHailVehicle-406-2015000397926-098880,57.0
35475.0,700-2016000874667-0145407,rideHailVehicle-201-2016000295788-0131824,67.0
