hour,numPassengers,vkt
7,0,0.129
7,1,12374.967999999999
8,0,2802.928
8,1,43302.432000000015
9,0,1414.629
9,1,36852.539
10,0,2694.3860000000004
10,1,80242.23599999999
11,0,4684.436
11,1,114199.33400000002
12,0,6862.176000000002
12,1,117810.04500000001
13,0,9309.646000000002
13,1,137235.89599999998
14,0,4828.598999999999
14,1,166720.10400000002
15,0,5409.425
15,1,115702.28400000001
16,0,5880.1140000000005
16,1,112890.69700000003
17,0,6294.633999999998
17,1,194812.09699999995
18,0,6787.067999999999
18,1,179606.00200000004
19,0,2221.4660000000003
19,1,230881.2019999999
20,0,6249.695000000001
20,1,185937.43300000005
21,0,3849.4260000000013
21,1,117351.379
22,0,5732.718
22,1,106690.42200000002
23,0,1129.149
23,1,52909.377
24,0,1694.98
24,1,43315.04
